id;source;sample_name;suite_by_autor;classification_peate92;classification_peate97;latitude;longitude;elevation;localization;SiO2_nr;TiO2_nr;Al2O3_nr;FeO_nr;Fe2O3_nr;FeOt_nr;Fe2O3t_nr;MnO_nr;MgO_nr;CaO_nr;Na2O_nr;K2O_nr;P2O5_nr;LOI_nr;total_nr;SiO2;TiO2;Al2O3;Fe2O3t;MnO;MgO;CaO;Na2O;K2O;P2O5;total;Ti/Y;Ti/Zr;Zr/Y;Sr/Y;Ba/Y;Ba;Rb;Sr;Y;Zr;Nb;Ni;Cr;Sc;Co;La;Ce;Nd;Sm;Eu;Tb;Yb;Lu;Hf;Ta;Th;U;Pb;V;Cu;Zn;Ga;Cs;87Sr/86Sr_m;87Sr/86Sr_r;143Nd/144Nd_m;143Nd/144Nd_r;206Pb/204Pb_m;206Pb/204Pb_r;207Pb/204Pb_m;207Pb/204Pb_r;208Pb/204Pb_m;208Pb/204Pb_r;Coluna1;Coluna2
;Peate. 1989;DRR04;;;;-28.14;-49.66;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;5.0;7.63;;;16.0;290.0;38.0;190.0;17.3;38;;;;;;;;;;;;;;;;;;176;126;23;;;;;;;;;;;;;
;Peate. 1989;DGB70;;;;-28.28;-49.71;;south;;;;;;;;;;;;;;;0.0;50.65;1.38;14.0;13.89;0.22;6.13;10.59;2.53;0.48;0.14;100.01;248.11;91.99;2.7;5.24;4.55;150.0;18.0;173.0;33.0;89.0;6.4;63;205;;;;;;;;;;;;;;;;;201;98;18;;0.71;0.71;0.51;0.51;;;;;;;;
;Peate. 1989;DAB03;;;;-28.36;-49.6;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;8.33;14.38;;;52.0;690.0;48.0;400.0;33.4;23;;;;;;;;;;;;;;;;;;214;144;28;;;;;;;;;;;;;
;Peate. 1989;DAB14;;;;-28.36;-49.6;;south;;;;;;;;;;;;;;;0.0;50.71;7.27;12.14;14.73;0.21;3.4;7.53;2.89;0.92;0.22;100.02;958.51;236.99;4.04;7.24;;;54.0;326.0;45.0;182.0;11.7;23;;;;;;;;;;;;;;;;;;223;124;20;;;;;;;;;;;;;
;Peate. 1989;DGB01;;;;-28.36;-49.6;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;5.09;8.16;15.09;483.0;37.0;261.0;32.0;163.0;12.0;37;147;;40;;;;;;;;;;;;;;;87;105;22;;;;;;;;;;;;;
;Peate. 1989;DGB03;;;;-28.36;-49.6;;south;;;;;;;;;;;;;;;0.0;52.02;1.78;12.98;15.44;0.25;4.73;9.32;2.73;0.52;0.23;100.0;285.43;66.42;4.3;8.97;8.46;313.0;11.0;332.0;37.0;159.0;12.0;31;62;;42;;;;;;;;;;;;;;;221;123;18;;;;;;;;;;;;;
;Peate. 1989;DGB15;;;;-28.36;-49.6;;south;;;;;;;;;;;;;;;0.0;57.18;1.73;13.59;12.5;0.19;3.18;6.43;2.63;2.29;0.28;100.0;238.7;45.62;5.23;4.19;11.63;500.0;65.0;180.0;43.0;225.0;18.0;16;50;;30;;;;;;;;;;;;;;;110;114;22;;;;;;;;;;;;;
;Peate. 1989;DGB18;;;;-28.36;-49.6;;south;;;;;;;;;;;;;;;0.0;55.8;1.76;13.63;13.03;0.18;3.6;6.26;3.04;2.42;0.28;100.0;237.32;48.12;4.93;4.0;11.23;494.0;84.0;176.0;44.0;217.0;16.0;22;42;;33;;;;;;;;;;;;;;;87;110;19;;;;;;;;;;;;;
;Peate. 1989;DRR22;;;;-28.78;-49.89;;south;;;;;;;;;;;;;;;0.0;55.52;1.45;13.88;12.56;0.18;4.14;7.76;2.51;1.8;0.2;100.0;187.02;50.6;3.7;5.43;;;52.0;250.0;46.0;170.0;14.3;36;;;;;;;;;;;;;;;;;;137;107;22;;;;;;;;;;;;;
;Peate. 1989;DSM04;;;;-29.13;-58.32;;south;;;;;;;;;;;;;;;0.0;59.77;2.01;14.06;9.2;0.14;2.05;4.11;3.84;4.12;0.7;100.0;253.73;24.84;10.21;14.43;24.19;1137.0;111.0;678.0;47.0;480.0;49.0;4;7;14.0;17;79.6;173.0;82.6;15.3;4.42;1.85;3.63;0.55;12.4;3.32;12.1;3;14.2;119.0;39;109;27;1.8;0.71;0.71;0.51;0.51;18.259;;15.591;;38.66;;;
