id;source;sample_name;suite_by_autor;classification_peate92;classification_peate97;latitude;longitude;elevation;localization;SiO2_nr;TiO2_nr;Al2O3_nr;FeO_nr;Fe2O3_nr;FeOt_nr;Fe2O3t_nr;MnO_nr;MgO_nr;CaO_nr;Na2O_nr;K2O_nr;P2O5_nr;LOI_nr;total_nr;SiO2;TiO2;Al2O3;Fe2O3t;MnO;MgO;CaO;Na2O;K2O;P2O5;total;Ti/Y;Ti/Zr;Zr/Y;Sr/Y;Ba/Y;Ba;Rb;Sr;Y;Zr;Nb;Ni;Cr;Sc;Co;La;Ce;Nd;Sm;Eu;Tb;Yb;Lu;Hf;Ta;Th;U;Pb;V;Cu;Zn;Ga;Cs;87Sr/86Sr_m;87Sr/86Sr_r;143Nd/144Nd_m;143Nd/144Nd_r;206Pb/204Pb_m;206Pb/204Pb_r;207Pb/204Pb_m;207Pb/204Pb_r;208Pb/204Pb_m;208Pb/204Pb_r;Coluna1;Coluna2
;Acosta. 2023;CB-06A;;;;"-28°7?32""";"-49°28'20""";1761;south;50.18;1.82;13.24;;;;15.03;0.21;4.79;8.29;2.6;1.19;0.19;2.1;99.64;51.45;1.87;13.57;15.41;0.22;4.91;8.5;2.67;1.22;0.19;100.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;CB-06B;;;;"-28°7?32""";"-49°28'20""";1761;south;51.16;1.99;12.31;;;;16.42;0.23;4.1;7.96;2.31;1.29;0.22;1.7;99.69;52.21;2.03;12.56;16.76;0.23;4.18;8.12;2.36;1.32;0.22;99.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;AA-18A;;;;"-28°7?34""";"-49°28'52""";1755;south;50.01;1.81;13.4;;;;15.27;0.21;4.72;8.48;2.67;0.97;0.21;1.9;99.65;51.16;1.85;13.71;15.62;0.21;4.83;8.68;2.73;0.99;0.21;99.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;AA-18BB;;;;"-28°7?34""";"-49°28'52""";1755;south;50.23;1.37;13.86;;;;14.32;0.21;6.28;10.46;2.36;0.5;0.12;0.0;99.71;50.38;1.37;13.9;14.36;0.21;6.3;10.49;2.37;0.5;0.12;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;AA-18BT;;;;"-28°7?34""";"-49°28'52""";1755;south;50.36;1.35;13.87;;;;14.19;0.21;6.27;10.46;2.38;0.5;0.13;0.0;99.72;50.5;1.35;13.91;14.23;0.21;6.29;10.49;2.39;0.5;0.13;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;CB-04;;;;"-28°7?45""";"-49°28'22""";1807;south;50.32;1.34;13.81;;;;14.31;0.21;6.15;10.4;2.43;0.52;0.12;1.8;101.41;50.52;1.35;13.86;14.37;0.21;6.17;10.44;2.44;0.52;0.12;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;CB-11;;;;"-28°8?10""";"-49°28'38""";1580;south;49.92;3.74;13.55;;;;13.37;0.18;4.35;8.28;2.78;1.57;0.49;1.3;99.53;50.82;3.81;13.79;13.61;0.18;4.43;8.43;2.83;1.6;0.5;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acosta. 2023;CB-10;;;;"-28°8?10""";"-49°28'50""";1520;south;52.89;1.4;13.57;;;;13.06;0.19;4.65;8.49;2.64;0.97;0.18;1.7;99.74;53.95;1.43;13.84;13.32;0.19;4.74;8.66;2.69;0.99;0.18;99.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Almeida. 2018;FM38   ;;;;;;;south;41.73;2.6;12.0;;;;12.14;0.21;9.21;12.19;2.4;3.2;0.7;2.59;98.97;43.3;2.69;12.45;12.6;0.22;9.56;12.65;2.49;3.32;0.73;100.01;664.99;83.12;8.0;49.21;70.25;1686.0;86.6;1181.0;24.0;192.0;54.8;142;266;;42;56.9;104.0;46.5;8.4;2.51;0.94;1.75;0.26;4.96;;7.53;1.53;14.7;333.0;98;94;;1.97;;;;;;;;;;;;
;Almeida. 2018;VA43   ;;;;;;;north;48.97;2.04;10.56;;;;13.54;0.23;9.04;10.76;1.8;1.51;0.44;0.42;99.3;49.52;2.06;10.68;13.69;0.23;9.14;10.88;1.82;1.53;0.44;99.99;718.94;102.71;7.0;40.53;36.47;620.0;36.4;689.0;17.0;119.0;26.6;90;328;;51;32.1;67.5;34.2;6.4;1.88;0.66;1.27;0.18;2.29;;2.89;0.64;5.25;363.0;29;90;;1.19;;;;;;;;;;;;
;Almeida. 2018;VA2 ;Urubici;;;;;;north;49.34;4.55;12.52;;;;14.48;0.19;4.57;8.19;2.65;1.88;0.69;0.0;99.06;49.81;4.6;12.64;14.62;0.19;4.61;8.27;2.68;1.9;0.7;100.02;827.02;108.73;7.61;27.0;19.06;629.0;41.3;891.0;33.0;251.0;30.9;34;   ;;31;44;96.4;53.4;10.8;3.43;1.3;2.47;0.36;7.1;;4.69;1.03;6.56;440.0;152;121;;1.01;;;;;;;;;;;;
;Almeida. 2018;VA44   ;;;;;;;north;49.94;1.47;22.17;;;;7.39;0.1;2.59;9.65;3.77;2.02;0.42;0.42;99.94;50.18;1.48;22.28;7.43;0.1;2.6;9.7;3.79;2.03;0.42;100.01;975.65;69.69;14.0;223.22;122.0;1098.0;40.5;2009.0;9.0;126.0;24.9;50;120;;21;42.4;79.0;31.2;4.9;2.54;0.41;0.73;0.11;2.74;;4.16;0.95;6.92;173.0;101;50;;0.89;;;;;;;;;;;;
;Almeida. 2018;VA41   ;;;;;;;north;52.15;2.21;14.51;;;;10.98;0.18;4.42;6.99;2.83;3.71;0.43;0.33;98.74;52.99;2.24;14.74;11.16;0.18;4.49;7.1;2.88;3.77;0.44;99.99;577.82;49.77;11.61;33.96;46.61;1072.0;112.0;781.0;23.0;267.0;48.6;27;35;;31;74.2;143.0;59.8;9.5;2.39;0.91;1.83;0.27;4.25;;13.4;3.08;15.6;278.0;37;94;;2.61;;;;;;;;;;;;
;Almeida. 2018;CFM131 ;Paranapanema;;;;;;south;52.45;3.09;12.29;;;;13.74;0.22;3.94;6.74;2.65;2.02;0.5;1.33;98.97;53.72;3.16;12.59;14.07;0.23;4.04;6.9;2.71;2.07;0.51;100.0;297.59;62.7;4.75;6.43;9.29;585.0;50.7;405.0;63.0;299.0;27.8;42;18;;42;43.9;96.4;52.3;11.3;3.17;1.64;3.93;0.57;8.52;;4.83;1.05;6.87;347.0;132;125;;2;;;;;;;;;;;;
;Almeida. 2018;VA81   ;;;;;;;north;55.64;1.95;15.53;;;;8.9;0.16;2.7;5.61;2.98;4.29;0.45;0.1;98.31;56.65;1.98;15.81;9.06;0.16;2.75;5.71;3.03;4.37;0.46;99.98;435.09;43.67;9.96;30.22;43.81;1183.0;156.0;816.0;27.0;269.0;52.8;5;   ;;15;83.1;162.0;67.6;11.0;2.59;1.02;2.18;0.34;4.69;;14.1;5.02;25.3;193.0;9;82;;5.45;;;;;;;;;;;;
;Almeida. 2019;VA67D1;;;;;;;south;40.52;2.59;10.01;;;;13.2;0.2;10.05;14.24;0.86;1.93;0.43;5.17;99.2;43.09;2.75;10.65;14.04;0.21;10.69;15.14;0.91;2.05;0.46;99.99;815.79;101.97;8.0;27.85;55.8;1116.0;35.0;557.0;20.0;160.0;42.0;145;474;37.0;54;43;67.0;44.0;;;;;;;;16.0;15;19;372.0;75;59;17;;;;;;;;;;;;;
;Almeida. 2019;VA41D2;;;;;;;south;42.35;2.78;8.89;;;;13.15;0.23;9.65;14.67;1.8;1.52;0.4;3.33;98.77;44.37;2.91;9.31;13.78;0.24;10.11;15.37;1.89;1.59;0.42;99.99;822.14;83.0;9.9;30.67;54.0;1134.0;42.0;644.0;21.0;208.0;46.0;182;455;45.0;55;63;123.0;54.0;;;;;;;;22.0;10;38;424.0;140;90;15;;;;;;;;;;;;;
;Almeida. 2019;VA43D3;;;;;;;south;43.0;3.19;11.19;;;;15.13;0.22;7.72;12.06;2.61;0.98;0.53;1.97;98.6;44.5;3.3;11.58;15.66;0.23;7.99;12.48;2.7;1.01;0.55;100.0;889.95;83.67;10.64;34.91;63.32;1393.0;30.0;768.0;22.0;234.0;46.0;117;89;37.0;39;50;115.0;66.0;;;;;;;;22.0;10;23;515.0;144;97;18;;;;;;;;;;;;;
;Almeida. 2019;VA43RB;;;;;;;south;49.2;2.43;14.08;;;;12.01;0.18;5.58;8.24;2.91;3.23;0.52;0.37;98.75;50.01;2.47;14.31;12.21;0.18;5.67;8.38;2.96;3.28;0.53;100.0;586.18;56.58;10.36;36.64;47.04;1176.0;84.0;916.0;25.0;259.0;50.0;77;176;25.0;26;68;112.0;55.0;;;;;;;;23.0;7;23;306.0;38;89;20;;;;;;;;;;;;;
;Almeida. 2019;VA43D5;;;;;;;south;49.86;2.48;13.69;;;;12.26;0.21;5.74;8.48;3.36;3.01;0.59;0.37;100.05;50.02;2.49;13.73;12.3;0.21;5.76;8.51;3.37;3.02;0.59;100.0;615.55;59.33;10.38;33.67;48.67;1168.0;82.0;808.0;24.0;249.0;45.0;48;166;28.0;32;67;121.0;50.0;;;;;;;;;;;288.0;11;95;22;;;;;;;;;;;;;
;Almeida. 2019;VA46K;;;;;;;south;50.67;2.33;14.52;;;;11.45;0.19;4.31;7.44;3.32;3.49;0.52;0.2;98.44;51.58;2.37;14.78;11.66;0.19;4.39;7.57;3.38;3.55;0.53;100.0;585.88;49.17;11.92;39.12;48.42;1162.0;87.0;939.0;24.0;286.0;51.0;44;70;19.0;30;72;146.0;59.0;;;;;;;;20.0;10;29;281.0;41;114;20;;;;;;;;;;;;;
;Almeida. 2019;VA41D1;;;;;;;south;51.06;3.89;12.8;;;;12.1;0.17;4.86;8.55;2.75;1.54;0.5;0.0;98.22;51.99;3.96;13.03;12.32;0.17;4.95;8.7;2.8;1.57;0.51;100.0;1174.73;118.66;9.9;37.15;54.95;1099.0;67.0;743.0;20.0;198.0;50.0;296;750;30.0;52;53;78.0;34.0;;;;;;;;19.0;8;15;308.0;78;82;16;;;;;;;;;;;;;
;Araújo. 2024;MS-116-RS;;;;509.941.216;6692996.98;;south;45.7;1.44;14.9;;;10.12;11.25;0.18;9.35;10.3;2.26;0.56;0.2;0.68;96.82;47.53;1.5;15.5;11.7;0.19;9.73;10.71;2.35;0.58;0.21;100.0;458.74;93.68;4.9;;;;;;19.4;95.0;;;266.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;MS-120-RS;;;;513.035.182;6.691.930.144;;south;47.2;1.44;15.4;;;10.21;11.35;0.17;9.4;10.95;2.24;0.39;0.2;1.11;99.85;47.8;1.46;15.6;11.49;0.17;9.52;11.09;2.27;0.39;0.2;99.99;435.29;87.5;4.97;;;;;;19.9;99.0;;;259.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;MS-120-RS;;;;513.035.182;6.691.930.144;;south;47.3;1.46;15.25;;;10.53;11.7;0.17;9.41;10.85;2.3;0.44;0.2;0.81;99.89;47.74;1.47;15.39;11.81;0.17;9.5;10.95;2.32;0.44;0.2;99.99;405.65;87.22;4.65;;;;;;21.5;100.0;;;259.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;MS-028-RS;;;;520.940.941;6.683.996.939;;south;54.2;1.11;13.9;;;11.25;12.5;0.2;5.31;8.81;2.72;1.1;0.14;0.59;100.58;54.21;1.11;13.9;12.5;0.2;5.31;8.81;2.72;1.1;0.14;100.0;257.25;48.42;5.31;;;;;;25.6;136.0;;;41.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;GT-003-RS;;;;548.374.753;6.692.031.471;;south;46.0;1.24;11.65;;;10.89;12.1;0.17;15.2;9.29;1.61;0.45;0.12;1.83;99.66;47.02;1.27;11.91;12.37;0.17;15.54;9.5;1.65;0.46;0.12;100.01;425.7;71.08;5.99;;;;;;17.7;106.0;;;1867.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-094-RS;;;;5.014.115.664;6701367.06;;south;47.8;0.78;10.85;;;10.44;11.6;0.16;16.15;7.37;1.51;0.52;0.12;2.17;99.03;49.35;0.81;11.2;11.98;0.17;16.67;7.61;1.56;0.54;0.12;100.01;306.1;55.24;5.54;;;;;;15.7;87.0;;;1655.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-094-RS;;;;5.014.115.664;6701367.06;;south;51.2;1.01;13.4;;;9.81;10.9;0.16;9.64;9.18;1.89;0.83;0.15;1.84;100.2;52.05;1.03;13.62;11.08;0.16;9.8;9.33;1.92;0.84;0.15;99.98;304.03;52.23;5.82;;;;;;20.1;117.0;;;731.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;MS-121-RS;;;;5.035.825.482;6.703.339.011;;south;50.3;0.83;13.2;;;9.0;10.0;0.15;11.1;9.12;2.13;0.61;0.1;2.89;100.43;51.57;0.85;13.53;10.25;0.15;11.38;9.35;2.18;0.63;0.1;99.99;296.65;51.99;5.71;;;;;;17.0;97.0;;;820.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;MS-121-RS;;;;5.035.825.482;6.703.339.011;;south;52.2;1.18;13.6;;;9.36;10.4;0.17;8.04;9.78;2.07;0.96;0.17;1.06;99.63;52.96;1.2;13.8;10.55;0.17;8.16;9.92;2.1;0.97;0.17;100.0;292.99;48.43;6.05;;;;;;24.3;147.0;;;471.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;GM-062-RS;;;;5.049.413.192;6.685.997.115;;south;48.3;0.93;12.05;;;9.49;10.55;0.17;12.35;8.33;1.46;0.65;0.15;3.29;98.23;50.87;0.98;12.69;11.11;0.18;13.01;8.77;1.54;0.68;0.16;99.99;312.6;55.91;5.59;;;;;;18.6;104.0;;;1292.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;GM-062-RS;;;;5.049.413.192;6.685.997.115;;south;50.6;0.97;13.65;;;9.58;10.65;0.22;6.94;8.53;2.86;1.92;0.12;2.87;99.33;52.46;1.01;14.15;11.04;0.23;7.19;8.84;2.96;1.99;0.12;99.99;237.79;55.48;4.29;;;;;;25.2;108.0;;;47.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;GM-063-RS;;;;5.049.413.794;6686997.04;;south;47.8;0.95;13.5;;;9.49;10.55;0.16;9.98;8.95;1.65;0.7;0.16;4.29;98.69;50.64;1.01;14.3;11.17;0.17;10.57;9.48;1.75;0.74;0.17;100.0;307.3;54.48;5.64;;;;;;19.5;110.0;;;943.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;GM-063-RS;;;;5.049.413.794;6686997.04;;south;49.6;1.11;14.0;;;8.67;9.63;0.18;8.64;8.88;1.76;0.77;0.16;4.96;99.69;52.36;1.17;14.78;10.17;0.19;9.12;9.37;1.86;0.81;0.17;100.0;325.9;54.23;6.01;;;;;;21.3;128.0;;;943.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-090-RS;;;;5.057.513.921;6.693.897.029;;south;53.5;1.04;13.95;;;10.62;11.8;0.16;6.22;9.07;2.41;0.98;0.1;0.77;100.0;53.92;1.05;14.06;11.89;0.16;6.27;9.14;2.43;0.99;0.1;100.01;278.11;56.63;4.91;;;;;;22.4;110.0;;;68.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-080-RS;;;;5.058.613.396;6.697.497.058;;south;49.9;0.96;12.0;;;10.26;11.4;0.16;13.25;7.86;1.82;0.73;0.14;2.86;101.08;50.8;0.98;12.22;11.61;0.16;13.49;8.0;1.85;0.74;0.14;99.99;323.02;51.0;6.33;;;;;;18.0;114.0;;;1176.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-080-RS;;;;5.058.613.396;6.697.497.058;;south;50.3;1.08;14.2;;;9.13;10.15;0.2;7.5;8.39;2.29;0.84;0.17;4.67;99.79;52.88;1.14;14.93;10.67;0.21;7.88;8.82;2.41;0.88;0.18;100.0;289.04;50.85;5.68;;;;;;23.4;133.0;;;909.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-080-RS;;;;5.058.613.396;6.697.497.058;;south;50.7;1.01;13.0;;;9.67;10.75;0.16;9.96;9.21;1.92;0.8;0.17;1.89;99.57;51.9;1.03;13.31;11.0;0.16;10.2;9.43;1.97;0.82;0.17;99.99;292.39;50.92;5.74;;;;;;20.9;120.0;;;759.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;GM-061-RS;;;;5.059.412.934;6.686.997.103;;south;50.5;0.91;11.75;;;10.12;11.25;0.18;13.3;8.22;1.71;0.72;0.15;1.77;100.46;51.17;0.92;11.91;11.4;0.18;13.48;8.33;1.73;0.73;0.15;100.0;298.27;48.74;6.12;;;;;;18.3;112.0;;;1101.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-101-RS;;;;5.061.005.864;6.706.305.929;;south;42.0;2.25;9.65;;;12.51;13.9;0.18;15.05;8.99;1.82;0.94;0.2;4.0;98.98;44.22;2.37;10.16;14.64;0.19;15.85;9.47;1.92;0.99;0.21;100.02;884.35;83.2;10.63;;;;;;15.9;169.0;;;1121.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-101-RS;;;;5.061.005.864;6.706.305.929;;south;50.9;0.99;13.05;;;9.72;10.8;0.16;10.7;8.7;1.87;0.8;0.15;1.25;99.37;51.88;1.01;13.3;11.01;0.16;10.91;8.87;1.91;0.82;0.15;100.02;278.71;49.94;5.58;;;;;;21.5;120.0;;;793.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-101-RS;;;;5.061.005.864;6.706.305.929;;south;51.3;1.01;14.5;;;9.27;10.3;0.15;8.33;10.1;2.14;0.88;0.16;1.53;100.4;51.89;1.02;14.67;10.42;0.15;8.43;10.22;2.16;0.89;0.16;100.01;316.84;52.17;6.07;;;;;;19.1;116.0;;;581.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;GM-060-RS;;;;5.061.612.846;6.680.717.063;;south;50.5;1.0;12.85;;;9.94;11.05;0.16;11.25;8.75;1.74;0.8;0.15;1.19;99.44;51.4;1.02;13.08;11.24;0.16;11.45;8.91;1.77;0.81;0.15;99.99;286.81;50.43;5.69;;;;;;21.1;120.0;;;896.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;GM-060-RS;;;;5.061.612.846;6.680.717.063;;south;51.5;1.1;13.55;;;9.45;10.5;0.16;8.35;9.82;1.88;0.83;0.17;1.5;99.36;52.63;1.12;13.85;10.73;0.16;8.53;10.03;1.92;0.85;0.17;99.99;309.07;49.59;6.23;;;;;;21.5;134.0;;;554.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;GM-066-RS;;;;5.063.912.891;6.684.747.087;;south;54.5;1.17;14.65;;;10.26;11.4;0.18;5.54;8.11;2.71;1.46;0.16;2.02;101.9;54.57;1.17;14.67;11.42;0.18;5.55;8.12;2.71;1.46;0.16;100.01;292.89;53.81;5.44;;;;;;23.7;129.0;;;47.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;GM-064-RS;;;;5.069.412.562;6.685.997.039;;south;50.2;1.2;14.7;;;9.58;10.65;0.14;6.81;9.27;2.19;1.14;0.2;2.03;98.53;52.02;1.24;15.23;11.03;0.15;7.06;9.61;2.27;1.18;0.21;100.0;317.11;51.09;6.21;;;;;;23.2;144.0;;;287.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;GM-065-RS;;;;5.069.413.041;6.686.997.076;;south;45.5;0.67;8.44;;;11.74;13.05;0.18;22.0;5.65;1.29;0.41;0.12;2.98;100.29;46.76;0.69;8.67;13.41;0.18;22.61;5.81;1.33;0.42;0.12;100.0;319.83;59.33;5.39;;;;;;12.8;69.0;;;2031.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;GM-065-RS;;;;5.069.413.041;6.686.997.076;;south;53.1;1.19;13.8;;;10.35;11.5;0.14;5.21;7.67;2.42;1.14;0.15;3.72;100.04;55.13;1.24;14.33;11.94;0.15;5.41;7.96;2.51;1.18;0.16;100.01;301.51;53.31;5.66;;;;;;24.4;138.0;;;34.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-091-RS;;;;5.069.414.469;6.701.437.009;;south;49.7;1.04;13.7;;;8.71;9.68;0.13;8.55;9.67;1.76;0.6;0.17;4.51;99.51;52.32;1.09;14.42;10.19;0.14;9.0;10.18;1.85;0.63;0.18;100.0;329.95;52.58;6.28;;;;;;19.6;123.0;;;861.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-082-RS;;;;5.079.412.453;6689997.06;;south;50.4;0.99;12.9;;;9.72;10.8;0.16;10.7;8.85;1.71;0.71;0.15;2.55;99.92;51.76;1.02;13.25;11.09;0.16;10.99;9.09;1.76;0.73;0.15;100.0;307.19;50.43;6.09;;;;;;19.7;120.0;;;964.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-089-RS;;;;5.099.492.806;6.701.871.436;;south;43.2;1.02;11.15;;;10.57;11.75;0.17;16.35;8.81;1.46;0.4;0.1;5.38;99.79;45.76;1.08;11.81;12.44;0.18;17.32;9.33;1.55;0.42;0.11;100.0;400.48;77.2;5.19;;;;;;16.0;83.0;;;1757.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-089-RS;;;;5.099.492.806;6.701.871.436;;south;43.3;2.16;9.49;;;12.69;14.1;0.19;16.9;8.45;1.75;0.77;0.2;1.64;98.95;44.5;2.22;9.75;14.49;0.2;17.37;8.68;1.8;0.79;0.21;100.01;921.07;84.43;10.91;;;;;;14.3;156.0;;;1217.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-089-RS;;;;5.099.492.806;6.701.871.436;;south;48.4;2.87;12.2;;;14.8;16.45;0.25;4.76;9.38;2.81;1.05;0.31;1.35;99.83;49.15;2.91;12.39;16.7;0.25;4.83;9.52;2.85;1.07;0.31;99.98;366.56;64.18;5.71;;;;;;47.1;269.0;;;20.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;MS-123-RS;;;;5.102.692.328;6.696.480.983;;south;47.6;0.88;16.0;;;9.72;10.8;0.14;9.38;8.57;2.18;0.76;0.15;3.5;99.96;49.35;0.91;16.59;11.2;0.15;9.72;8.88;2.26;0.79;0.16;100.01;319.47;48.64;6.57;;;;;;16.9;111.0;;;458.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;MS-123-RS;;;;5.102.692.328;6.696.480.983;;south;47.8;1.43;14.95;;;10.44;11.6;0.18;9.24;12.3;2.11;0.37;0.14;0.47;100.59;47.74;1.43;14.93;11.59;0.18;9.23;12.29;2.11;0.37;0.14;100.01;380.46;72.51;5.25;;;;;;22.3;117.0;;;581.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;MS-123-RS;;;;5.102.692.328;6.696.480.983;;south;48.0;1.54;15.25;;;10.35;11.5;0.19;7.34;12.8;2.15;0.41;0.14;0.83;100.15;48.33;1.55;15.35;11.58;0.19;7.39;12.89;2.16;0.41;0.14;99.99;389.67;75.38;5.17;;;;;;23.6;122.0;;;417.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;MS-123-RS;;;;5.102.692.328;6.696.480.983;;south;51.3;1.12;14.2;;;9.72;10.8;0.17;7.84;9.25;2.19;1.06;0.19;1.66;99.78;52.28;1.14;14.47;11.01;0.17;7.99;9.43;2.23;1.08;0.19;99.99;295.35;49.01;6.03;;;;;;22.9;138.0;;;383.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-095-RS;;;;5.109.112.122;6.691.967.008;;south;47.2;1.39;15.4;;;10.48;11.65;0.16;9.65;10.65;2.26;0.41;0.2;0.89;99.86;47.69;1.4;15.56;11.77;0.16;9.75;10.76;2.28;0.41;0.2;99.98;448.98;88.36;5.08;;;;;;18.5;94.0;;;253.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;CA-095-RS;;;;5.109.112.122;6.691.967.008;;south;47.8;1.25;14.1;;;9.4;10.45;0.17;9.33;11.9;1.87;0.31;0.15;2.7;100.03;49.11;1.28;14.49;10.73;0.17;9.59;12.23;1.92;0.32;0.15;99.99;421.9;88.31;4.78;;;;;;18.0;86.0;;;656.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;JBO628;;;;5.109.411.337;6.681.997.079;;south;;;;;;10.55;;;;;;;;0.0;0.0;47.0;1.65;16.4;11.72;0.17;7.5;11.88;2.2;0.37;0.16;99.05;425.63;88.99;4.78;;;;;;23.0;110.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;JBO629;;;;5.109.411.337;6.681.997.079;;south;;;;;;9.99;;;;;;;;0.0;0.0;47.8;1.33;14.9;11.1;0.18;8.0;12.55;1.8;0.47;0.11;98.24;375.76;78.91;4.76;;;;;;21.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;JBO630;;;;5.109.411.337;6.681.997.079;;south;;;;;;11.5;;;;;;;;0.0;0.0;47.6;1.92;14.6;12.78;0.19;6.37;12.01;2.4;0.6;0.25;98.72;345.19;67.01;5.15;;;;;;33.0;170.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;JBO622;;;;5.109.411.337;6.681.997.079;;south;;;;;;13.99;;;;;;;;0.0;0.0;55.4;2.01;12.9;15.55;0.19;2.54;6.09;2.6;2.27;0.31;99.86;283.94;51.85;5.48;;;;;;42.0;230.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;JBO624;;;;5.109.411.337;6.681.997.079;;south;;;;;;11.75;;;;;;;;0.0;0.0;42.6;1.31;10.8;13.06;0.18;17.05;7.95;1.2;0.3;0.12;94.57;457.19;70.66;6.47;;;;;;17.0;110.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Araújo. 2024;JBO625;;;;5.109.411.337;6.681.997.079;;south;;;;;;12.9;;;;;;;;0.0;0.0;56.8;1.94;12.6;14.34;0.17;2.51;6.1;2.6;2.38;0.28;99.72;274.05;47.96;5.71;;;;;;42.0;240.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
